# ground truth trajectory
# file: 'livingRoom0.gt.fr'
# timestamp tx ty tz qx qy qz qw
1 0 0 -2.25 0 0 0 1
2 0.000466347 0.00895357 -2.24935 -0.00101358 0.00052453 -0.000231475 0.999999
3 -0.000154972 -0.000102997 -2.25066 -0.00465149 0.000380752 0.000400181 0.999989
4 0.000739813 -0.00242257 -2.25076 -0.0040878 8.72709e-05 0.000833608 0.999991
5 0.000956059 0.00307131 -2.24995 -0.00315019 6.86184e-05 0.00117138 0.999994
6 0.000857592 0.00334072 -2.25004 -0.0043143 -2.1103e-05 0.00147144 0.99999
7 0.00146174 0.000481129 -2.25009 -0.00517074 -0.000283615 0.0017992 0.999985
8 0.00145125 0.000549316 -2.25051 -0.00468647 -6.14564e-05 0.00200004 0.999987
9 0.0029068 0.00194144 -2.25035 -0.0044847 -7.61481e-05 0.00186692 0.999988
10 0.00274134 0.00251222 -2.25013 -0.00470172 0.000246652 0.00207984 0.999987
11 0.00312495 0.00204992 -2.25071 -0.00502782 0.000340966 0.00232193 0.999985
12 0.00321865 0.000437498 -2.25124 -0.00513348 0.000349368 0.0028128 0.999983
13 0.00330424 -0.000523329 -2.25143 -0.00488905 0.000331676 0.00325534 0.999983
14 0.00352716 -0.00120544 -2.25197 -0.00458532 0.000135544 0.00341613 0.999984
15 0.00358343 -0.00102663 -2.25224 -0.00415495 2.30582e-06 0.00349625 0.999985
16 0.00282669 -0.0016799 -2.25281 -0.00389312 0.000113206 0.00330333 0.999987
17 0.00329423 -0.00281072 -2.25308 -0.00380962 0.000160736 0.00304906 0.999988
18 0.00458717 -0.0032599 -2.25318 -0.00346542 0.000525624 0.00243511 0.999991
19 0.00500774 -0.00326157 -2.25364 -0.00317104 0.00117378 0.00234491 0.999992
20 0.00408292 -0.00406146 -2.25341 -0.00291835 0.00198926 0.00234968 0.999991
21 0.00364828 -0.00381303 -2.25366 -0.0022725 0.00288474 0.00235849 0.99999
22 0.0041647 -0.00298214 -2.25353 -0.00184033 0.00349221 0.00236335 0.999989
23 0.00493693 -0.00260997 -2.2532 -0.00166816 0.00394438 0.00249542 0.999988
24 0.00620031 -0.00245762 -2.2529 -0.00175087 0.00437812 0.00233731 0.999986
25 0.00570583 -0.00196934 -2.25316 -0.00173425 0.00534733 0.00241856 0.999981
26 0.00598526 -0.00262904 -2.2531 -0.00193378 0.00630867 0.00256595 0.999975
27 0.00791287 -0.00146723 -2.25304 -0.00182234 0.0071804 0.00283553 0.999969
28 0.00917244 -0.00203586 -2.25297 -0.00201458 0.00818057 0.00361791 0.999958
29 0.00839543 -0.000505686 -2.25274 -0.00197959 0.00972134 0.00460648 0.99994
30 0.0106025 -0.000772953 -2.25257 -0.00238708 0.0110781 0.00548892 0.999921
31 0.0124264 -0.00194979 -2.25222 -0.00255509 0.01301 0.00682148 0.999889
32 0.0122073 -0.00137639 -2.25141 -0.00229085 0.0158291 0.0081279 0.999839
33 0.0118799 -0.00114322 -2.25066 -0.00241233 0.0187507 0.00924692 0.999779
34 0.0121558 -0.00174999 -2.25001 -0.00254937 0.0221523 0.0108546 0.999692
35 0.013484 -9.46522e-05 -2.2491 -0.0022596 0.0252658 0.0124723 0.9996
36 0.0145624 -0.000151396 -2.24858 -0.00254929 0.0285223 0.0143084 0.999487
37 0.0161326 0.000748158 -2.24685 -0.00248343 0.0356635 0.0183446 0.999192
38 0.0177505 0.000524282 -2.24584 -0.00263638 0.0396893 0.0203375 0.999002
39 0.0190222 0.00070715 -2.24547 -0.00249226 0.0435397 0.0218787 0.998809
40 0.0206056 0.00423527 -2.24398 -0.00199844 0.0475172 0.0235147 0.998592
41 0.0224986 0.00406861 -2.24365 -0.00304865 0.0515792 0.025125 0.998348
42 0.0243084 0.00178266 -2.24309 -0.00404355 0.0561498 0.0271651 0.998045
43 0.0256889 0.000257969 -2.24214 -0.00435848 0.0613449 0.029206 0.99768
44 0.0277228 0.00235462 -2.24105 -0.00365717 0.0661142 0.0315141 0.997308
45 0.0557566 0.00280213 -2.2449 -0.00444902 0.0653339 0.036086 0.997201
46 0.116089 0.00613546 -2.25598 -0.00518947 0.0582232 0.0369059 0.997608
47 0.118701 0.00639963 -2.2556 -0.00505546 0.0631493 0.0388698 0.997234
48 0.121085 0.00744319 -2.25534 -0.00511221 0.0681283 0.040917 0.996824
49 0.12365 0.00768661 -2.25509 -0.00524802 0.0728258 0.0427352 0.996415
50 0.126503 0.00869846 -2.25527 -0.00516676 0.0775787 0.0444655 0.995981
51 0.129723 0.00959134 -2.25525 -0.00521396 0.0821083 0.0461804 0.995539
52 0.131111 0.0104728 -2.25518 -0.00535057 0.0871777 0.047722 0.995035
53 0.134402 0.0101137 -2.25563 -0.00588079 0.0921654 0.0492651 0.994507
54 0.137827 0.00791264 -2.25657 -0.00581776 0.0968633 0.0508793 0.993979
55 0.139239 0.00940299 -2.25674 -0.00467313 0.101777 0.0526814 0.9934
56 0.138803 0.0120156 -2.25614 -0.00412158 0.106955 0.0549232 0.992737
57 0.140771 0.0131354 -2.25653 -0.00400853 0.111493 0.0572846 0.992105
58 0.142633 0.0136049 -2.25705 -0.003775 0.116375 0.0600217 0.991383
59 0.145689 0.0143924 -2.25818 -0.00385314 0.120972 0.0625137 0.990678
60 0.147535 0.0146928 -2.25845 -0.00427455 0.12577 0.0654895 0.989886
61 0.151124 0.0148304 -2.25972 -0.00470002 0.130028 0.0683953 0.989137
62 0.15465 0.0142686 -2.2608 -0.00469169 0.134552 0.0712474 0.988331
63 0.158316 0.0162442 -2.26245 -0.00434186 0.139153 0.0737475 0.987512
64 0.16232 0.0159793 -2.26432 -0.00473898 0.143732 0.0760778 0.986677
65 0.166882 0.0168929 -2.26661 -0.00493679 0.148341 0.0783305 0.985817
66 0.170158 0.0173767 -2.26861 -0.00515214 0.153438 0.0807073 0.984843
67 0.174742 0.0170982 -2.27139 -0.00530893 0.15837 0.083165 0.983857
68 0.178053 0.0191226 -2.27325 -0.00512529 0.163139 0.0856354 0.982866
69 0.180284 0.0205202 -2.2742 -0.00542337 0.168125 0.0885311 0.981767
70 0.184296 0.0199735 -2.27647 -0.00624113 0.172252 0.0911437 0.980807
71 0.18705 0.0200393 -2.27795 -0.00640498 0.176939 0.0940372 0.979698
72 0.189349 0.0205956 -2.2792 -0.00676779 0.181896 0.0967378 0.978524
73 0.193712 0.0209467 -2.28196 -0.00690277 0.186316 0.0991602 0.977449
74 0.195262 0.0208542 -2.28284 -0.00670526 0.191501 0.101956 0.97616
75 0.200231 0.0233648 -2.28594 -0.00660226 0.195605 0.104038 0.975126
76 0.203217 0.0246181 -2.288 -0.0068559 0.200257 0.106418 0.973923
77 0.207785 0.0255368 -2.29141 -0.00738464 0.204265 0.108383 0.972869
78 0.211783 0.0258987 -2.29395 -0.0077426 0.208242 0.110684 0.971763
79 0.220322 0.0270183 -2.30009 -0.00819481 0.215649 0.115117 0.969627
80 0.224249 0.0273607 -2.30257 -0.00793646 0.219364 0.117233 0.968542
81 0.227489 0.0302732 -2.30488 -0.00763023 0.222982 0.119133 0.967485
82 0.230647 0.0305967 -2.30696 -0.00780364 0.226727 0.121514 0.966317
83 0.232866 0.0335124 -2.30834 -0.00746108 0.230539 0.123228 0.9652
84 0.236186 0.0348752 -2.31058 -0.00770271 0.234 0.125266 0.964102
85 0.238253 0.0360415 -2.31179 -0.00764434 0.23794 0.127565 0.962836
86 0.241855 0.0365341 -2.31411 -0.0078031 0.241187 0.129771 0.961731
87 0.245525 0.0357058 -2.31667 -0.0078814 0.244217 0.131973 0.960666
88 0.248251 0.0362289 -2.3187 -0.00721541 0.247777 0.133836 0.959501
89 0.250475 0.0383039 -2.32026 -0.00644809 0.251423 0.135736 0.95829
90 0.25296 0.0390689 -2.32183 -0.00631185 0.254786 0.137847 0.957101
91 0.255958 0.0382323 -2.32386 -0.00634518 0.257769 0.139729 0.956029
92 0.258089 0.0395558 -2.32572 -0.0055464 0.260955 0.140999 0.954982
93 0.2606 0.0401118 -2.32707 -0.00515268 0.263929 0.142282 0.953976
94 0.263729 0.0397949 -2.32919 -0.00515129 0.266523 0.143568 0.953062
95 0.266322 0.0401165 -2.33153 -0.00484573 0.269294 0.144725 0.952109
96 0.268648 0.0403895 -2.33354 -0.00443654 0.271995 0.146026 0.951144
97 0.269561 0.0414975 -2.33418 -0.00381646 0.274727 0.147157 0.950187
98 0.272252 0.04212 -2.33641 -0.00385991 0.276658 0.148168 0.949469
99 0.273729 0.0435255 -2.33767 -0.00372476 0.278609 0.14917 0.948742
100 0.276205 0.0417209 -2.33916 -0.00406572 0.280379 0.150321 0.948037
101 0.278272 0.0410955 -2.34075 -0.00349652 0.282273 0.15143 0.947301
102 0.280563 0.0406017 -2.34203 -0.00255498 0.284112 0.152471 0.946587
103 0.282243 0.0396273 -2.34333 -0.00214094 0.286127 0.153316 0.945844
104 0.284949 0.0383611 -2.34525 -0.00151068 0.287962 0.154328 0.945123
105 0.286516 0.0378771 -2.34645 -0.000272037 0.290231 0.154861 0.944343
106 0.287343 0.0378847 -2.34715 0.000947736 0.292704 0.154983 0.943559
107 0.290993 0.0355544 -2.35011 0.00308272 0.295843 0.154539 0.942648
108 0.292582 0.0349002 -2.35137 0.00455088 0.296889 0.154386 0.942338
109 0.293478 0.0338058 -2.35247 0.00603536 0.297686 0.154526 0.942055
110 0.294692 0.0316708 -2.35383 0.00748651 0.298261 0.154665 0.94184
111 0.297035 0.0290129 -2.35604 0.0106622 0.299237 0.154857 0.941469
112 0.298331 0.0265794 -2.35707 0.0121223 0.299524 0.154878 0.941356
113 0.299276 0.0250356 -2.3581 0.0142031 0.300127 0.154436 0.941208
114 0.300513 0.0225496 -2.35963 0.0163376 0.300741 0.153666 0.941103
115 0.300998 0.0210755 -2.36064 0.0184231 0.301041 0.152743 0.941119
116 0.301922 0.0185099 -2.36204 0.0198801 0.300988 0.151358 0.94133
117 0.302334 0.017988 -2.36253 0.0220827 0.301477 0.149551 0.941413
118 0.302535 0.0152864 -2.36291 0.0237407 0.302048 0.148024 0.941431
119 0.302549 0.0142817 -2.36391 0.0255644 0.302246 0.146746 0.94152
120 0.301689 0.0129633 -2.36343 0.0265987 0.30221 0.145523 0.941693
121 0.300899 0.00821924 -2.36411 0.0294526 0.300162 0.143841 0.94252
122 0.300054 0.00595975 -2.3638 0.031713 0.298175 0.142912 0.943219
123 0.299296 0.00494885 -2.36384 0.0337561 0.295874 0.141815 0.944038
124 0.298676 0.00202084 -2.36328 0.0352999 0.293725 0.14081 0.944803
125 0.298459 0.00014019 -2.36336 0.0371095 0.291438 0.139716 0.945603
126 0.297134 -0.00139761 -2.36265 0.0389559 0.289679 0.138159 0.946298
127 0.296217 -0.00294685 -2.36225 0.0405636 0.288128 0.136609 0.946929
128 0.296264 -0.00566769 -2.36243 0.0421938 0.286431 0.135088 0.947591
129 0.294402 -0.00646281 -2.36102 0.0440848 0.28502 0.133252 0.94819
130 0.292393 -0.00657892 -2.35978 0.0449305 0.283052 0.131606 0.948969
131 0.290487 -0.0068655 -2.35862 0.0449802 0.280422 0.130145 0.949949
132 0.28922 -0.00767899 -2.35695 0.0451192 0.277651 0.129073 0.950902
133 0.287327 -0.00936365 -2.35543 0.0459584 0.274885 0.128177 0.951786
134 0.284716 -0.00963593 -2.3532 0.0469985 0.271825 0.1273 0.952731
135 0.283337 -0.0112412 -2.35189 0.0475579 0.267981 0.126517 0.953896
136 0.282301 -0.0138364 -2.35062 0.0485054 0.264074 0.125677 0.955048
137 0.278769 -0.0137553 -2.34748 0.0503064 0.256632 0.123142 0.957312
138 0.276497 -0.014529 -2.34561 0.0509514 0.25336 0.122154 0.958275
139 0.275469 -0.0163939 -2.34431 0.0516388 0.249512 0.120858 0.959411
140 0.273674 -0.0181282 -2.34268 0.0519322 0.245574 0.119728 0.960553
141 0.272304 -0.020643 -2.34127 0.0521511 0.241438 0.11876 0.961709
142 0.269967 -0.0210879 -2.33966 0.0530923 0.237666 0.1174 0.962763
143 0.267375 -0.0213339 -2.33827 0.0531961 0.233815 0.116553 0.963803
144 0.265508 -0.0248177 -2.3365 0.0530026 0.229909 0.115777 0.964846
145 0.263347 -0.0254934 -2.33511 0.053605 0.226331 0.114813 0.965774
146 0.260396 -0.0264556 -2.33282 0.0539274 0.223128 0.113608 0.966643
147 0.25882 -0.0276735 -2.33209 0.0539713 0.219514 0.11241 0.967608
148 0.255582 -0.027667 -2.33003 0.054487 0.216409 0.11114 0.968425
149 0.251879 -0.0263999 -2.32776 0.0548514 0.213368 0.109824 0.969229
150 0.248199 -0.0266736 -2.32561 0.0545256 0.21027 0.1087 0.97005
151 0.244865 -0.0253561 -2.32329 0.0547796 0.206951 0.107374 0.970897
152 0.240708 -0.0275083 -2.32073 0.054209 0.203499 0.106118 0.971797
153 0.23785 -0.0291829 -2.31902 0.0539819 0.199464 0.10463 0.972807
154 0.233593 -0.0284553 -2.31655 0.0544936 0.19589 0.103002 0.973678
155 0.229031 -0.0292871 -2.31385 0.0542103 0.192481 0.101338 0.974548
156 0.224803 -0.0312629 -2.3121 0.0538155 0.188685 0.099598 0.975491
157 0.221987 -0.0324383 -2.31052 0.053878 0.184515 0.0975754 0.976489
158 0.218136 -0.0325735 -2.30875 0.0538861 0.180905 0.09567 0.977352
159 0.215061 -0.0337789 -2.30716 0.0532502 0.177101 0.093992 0.978246
160 0.212101 -0.0349255 -2.30582 0.0527796 0.173491 0.09225 0.979084
161 0.207732 -0.034292 -2.30419 0.0527796 0.170369 0.0901932 0.979823
162 0.203657 -0.0336468 -2.30227 0.0523677 0.166776 0.0885186 0.980616
163 0.200568 -0.0324519 -2.30061 0.0518945 0.162346 0.0870546 0.981515
164 0.196368 -0.0356772 -2.29875 0.0512109 0.157778 0.0857562 0.98241
165 0.190846 -0.0343502 -2.29613 0.0514525 0.153297 0.0838295 0.983273
166 0.186767 -0.0341144 -2.29403 0.0508804 0.148666 0.0818122 0.984183
167 0.182947 -0.0364695 -2.29221 0.0506794 0.144424 0.0801251 0.984964
168 0.179106 -0.035275 -2.29048 0.0512101 0.140248 0.0775534 0.985745
169 0.175292 -0.0342119 -2.28906 0.0509531 0.136115 0.0754648 0.9865
170 0.172814 -0.0368402 -2.28819 0.0502509 0.13153 0.0735507 0.987302
171 0.170612 -0.0377977 -2.28718 0.0502123 0.126916 0.0714441 0.988062
172 0.169883 -0.0373566 -2.28681 0.0502903 0.121687 0.069261 0.988871
173 0.168578 -0.0355012 -2.28539 0.0503647 0.116696 0.0669608 0.989627
174 0.168411 -0.0364299 -2.28505 0.0496591 0.111714 0.0644566 0.990404
175 0.168265 -0.0377805 -2.28513 0.0489853 0.106312 0.0625924 0.991151
176 0.165876 -0.0397487 -2.28426 0.0483962 0.101848 0.0600227 0.991807
177 0.163605 -0.0400784 -2.28377 0.048072 0.0972239 0.0574478 0.99244
178 0.162008 -0.0384469 -2.28309 0.0478342 0.0919003 0.0545968 0.993119
179 0.160863 -0.0400069 -2.28285 0.0470602 0.0869342 0.0522097 0.993731
180 0.158098 -0.0402362 -2.28217 0.0466964 0.0818982 0.0507729 0.994251
181 0.15774 -0.0414567 -2.28221 0.0462521 0.0768918 0.0492358 0.994748
182 0.153232 -0.0421653 -2.28101 0.0461487 0.0728228 0.0478906 0.995125
183 0.151453 -0.0408957 -2.28072 0.0461843 0.0681834 0.0461046 0.995536
184 0.146404 -0.0413384 -2.28032 0.0463608 0.0639857 0.0447022 0.995871
185 0.146283 -0.0410163 -2.27984 0.0464102 0.0587241 0.0426811 0.996281
186 0.143805 -0.0393374 -2.27962 0.0467138 0.0539562 0.0405379 0.996626
187 0.140852 -0.038496 -2.27868 0.0470086 0.049798 0.0384192 0.996912
188 0.138456 -0.0398648 -2.27792 0.0468849 0.04511 0.0359349 0.997234
189 0.135727 -0.0382438 -2.27717 0.0469889 0.0404736 0.0331218 0.997525
190 0.134244 -0.0403342 -2.27699 0.0462841 0.0363289 0.0305285 0.997801
191 0.131526 -0.0399752 -2.27669 0.0463878 0.0322107 0.0282508 0.998004
192 0.130096 -0.0406442 -2.2762 0.0460265 0.0273906 0.025748 0.998233
193 0.12768 -0.0390775 -2.27648 0.0456552 0.0226069 0.0238584 0.998416
194 0.128221 -0.041147 -2.27644 0.0450604 0.0174501 0.0221843 0.998585
195 0.124492 -0.0405006 -2.27653 0.0452122 0.012687 0.0208134 0.99868
196 0.128317 -0.041086 -2.27624 0.0446527 0.00760843 0.0187677 0.998797
197 0.126076 -0.0415978 -2.27623 0.0441019 0.00297296 0.016837 0.998881
198 0.130931 -0.0428319 -2.27586 0.0433078 -0.00225841 0.0145366 0.998953
199 0.129623 -0.0440934 -2.27594 0.0427203 -0.00661559 0.0124015 0.998988
200 0.131778 -0.0445502 -2.27564 0.0424205 -0.0111807 0.0102542 0.998985
201 0.130476 -0.044271 -2.27559 0.0419969 -0.0155696 0.00853884 0.99896
202 0.127459 -0.045562 -2.27526 0.0412231 -0.019883 0.00729042 0.998926
203 0.126447 -0.0477602 -2.27465 0.0405949 -0.0243271 0.00663637 0.998857
