# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_sitting_static.bag'
# timestamp tx ty tz qx qy qz qw
1341845688.7021 -0.7041 -2.9302 1.4567 -0.7895 0.0312 -0.0138 0.6128
1341845688.7123 -0.7047 -2.9311 1.4569 -0.7888 0.0305 -0.0119 0.6138
1341845688.7221 -0.7053 -2.9319 1.4569 -0.7883 0.0298 -0.0100 0.6144
1341845688.7349 -0.7059 -2.9326 1.4570 -0.7878 0.0295 -0.0084 0.6152
1341845688.7422 -0.7065 -2.9333 1.4571 -0.7869 0.0292 -0.0074 0.6163
1341845688.7522 -0.7069 -2.9340 1.4570 -0.7863 0.0291 -0.0069 0.6172
1341845688.7622 -0.7074 -2.9349 1.4569 -0.7860 0.0293 -0.0067 0.6175
1341845688.7722 -0.7077 -2.9356 1.4567 -0.7858 0.0291 -0.0071 0.6178
1341845688.7831 -0.7080 -2.9366 1.4566 -0.7859 0.0291 -0.0073 0.6176
1341845688.7922 -0.7083 -2.9372 1.4563 -0.7857 0.0294 -0.0082 0.6179
1341845688.8022 -0.7086 -2.9379 1.4560 -0.7855 0.0292 -0.0090 0.6181
1341845688.8123 -0.7088 -2.9388 1.4556 -0.7859 0.0289 -0.0102 0.6176
1341845688.8222 -0.7091 -2.9395 1.4551 -0.7858 0.0289 -0.0112 0.6177
1341845688.8322 -0.7094 -2.9402 1.4546 -0.7860 0.0289 -0.0122 0.6175
1341845688.8424 -0.7097 -2.9409 1.4542 -0.7862 0.0290 -0.0123 0.6172
1341845688.8522 -0.7098 -2.9417 1.4537 -0.7862 0.0285 -0.0124 0.6172
1341845688.8628 -0.7102 -2.9425 1.4533 -0.7860 0.0288 -0.0119 0.6174
1341845688.8722 -0.7105 -2.9432 1.4528 -0.7857 0.0288 -0.0112 0.6179
1341845688.8822 -0.7110 -2.9444 1.4520 -0.7861 0.0288 -0.0099 0.6173
1341845688.8921 -0.7114 -2.9451 1.4515 -0.7858 0.0287 -0.0087 0.6177
1341845688.9023 -0.7117 -2.9463 1.4506 -0.7873 0.0270 -0.0081 0.6159
1341845688.9122 -0.7121 -2.9470 1.4500 -0.7873 0.0264 -0.0068 0.6159
1341845688.9222 -0.7126 -2.9478 1.4495 -0.7874 0.0257 -0.0057 0.6159
1341845688.9322 -0.7129 -2.9487 1.4489 -0.7876 0.0246 -0.0047 0.6157
1341845688.9423 -0.7134 -2.9493 1.4484 -0.7874 0.0240 -0.0039 0.6160
1341845688.9522 -0.7138 -2.9501 1.4479 -0.7873 0.0236 -0.0031 0.6161
1341845688.9623 -0.7143 -2.9509 1.4473 -0.7870 0.0233 -0.0030 0.6165
1341845688.9722 -0.7146 -2.9517 1.4468 -0.7870 0.0228 -0.0032 0.6165
1341845688.9822 -0.7150 -2.9525 1.4462 -0.7875 0.0223 -0.0038 0.6159
1341845688.9922 -0.7155 -2.9529 1.4457 -0.7873 0.0227 -0.0050 0.6162
1341845689.0022 -0.7160 -2.9536 1.4450 -0.7876 0.0215 -0.0067 0.6157
1341845689.0121 -0.7165 -2.9548 1.4440 -0.7895 0.0193 -0.0088 0.6133
1341845689.0224 -0.7169 -2.9556 1.4433 -0.7901 0.0187 -0.0106 0.6126
1341845689.0322 -0.7173 -2.9557 1.4428 -0.7897 0.0197 -0.0118 0.6131
1341845689.0422 -0.7173 -2.9561 1.4423 -0.7895 0.0194 -0.0133 0.6133
1341845689.0522 -0.7177 -2.9570 1.4415 -0.7906 0.0192 -0.0137 0.6119
1341845689.0663 -0.7179 -2.9578 1.4407 -0.7909 0.0197 -0.0138 0.6114
1341845689.0722 -0.7181 -2.9585 1.4401 -0.7915 0.0202 -0.0136 0.6106
1341845689.0822 -0.7182 -2.9593 1.4394 -0.7923 0.0211 -0.0133 0.6096
1341845689.0922 -0.7182 -2.9602 1.4388 -0.7929 0.0218 -0.0128 0.6088
1341845689.1022 -0.7183 -2.9611 1.4382 -0.7936 0.0228 -0.0124 0.6079
1341845689.1123 -0.7183 -2.9618 1.4378 -0.7940 0.0238 -0.0123 0.6073
1341845689.1222 -0.7184 -2.9626 1.4373 -0.7943 0.0246 -0.0122 0.6069
1341845689.1322 -0.7185 -2.9633 1.4368 -0.7946 0.0252 -0.0118 0.6065
1341845689.1422 -0.7186 -2.9640 1.4364 -0.7946 0.0261 -0.0115 0.6065
1341845689.1522 -0.7186 -2.9647 1.4359 -0.7951 0.0270 -0.0112 0.6058
1341845689.1622 -0.7187 -2.9653 1.4353 -0.7956 0.0279 -0.0104 0.6051
1341845689.1722 -0.7187 -2.9660 1.4349 -0.7964 0.0289 -0.0098 0.6040
1341845689.1822 -0.7188 -2.9666 1.4344 -0.7971 0.0295 -0.0090 0.6031
1341845689.1922 -0.7189 -2.9672 1.4340 -0.7978 0.0303 -0.0084 0.6022
1341845689.2022 -0.7189 -2.9678 1.4337 -0.7981 0.0310 -0.0084 0.6016
1341845689.2122 -0.7189 -2.9684 1.4333 -0.7984 0.0319 -0.0083 0.6012
1341845689.2222 -0.7189 -2.9689 1.4330 -0.7985 0.0325 -0.0081 0.6010
1341845689.2323 -0.7189 -2.9695 1.4326 -0.7987 0.0332 -0.0080 0.6007
1341845689.2422 -0.7190 -2.9702 1.4324 -0.7990 0.0338 -0.0081 0.6003
1341845689.2522 -0.7191 -2.9707 1.4321 -0.7991 0.0341 -0.0078 0.6001
1341845689.2622 -0.7191 -2.9712 1.4318 -0.7992 0.0342 -0.0075 0.6000
1341845689.2722 -0.7191 -2.9716 1.4315 -0.7992 0.0344 -0.0071 0.6001
1341845689.2822 -0.7192 -2.9720 1.4312 -0.7993 0.0345 -0.0067 0.5998
1341845689.2922 -0.7192 -2.9724 1.4310 -0.7995 0.0351 -0.0064 0.5996
1341845689.3046 -0.7193 -2.9731 1.4304 -0.8007 0.0341 -0.0067 0.5980
1341845689.3122 -0.7194 -2.9735 1.4301 -0.8009 0.0344 -0.0069 0.5978
1341845689.3222 -0.7193 -2.9739 1.4300 -0.8011 0.0346 -0.0073 0.5975
1341845689.3359 -0.7194 -2.9744 1.4299 -0.8012 0.0345 -0.0079 0.5973
1341845689.3424 -0.7194 -2.9749 1.4297 -0.8014 0.0344 -0.0083 0.5970
1341845689.3522 -0.7194 -2.9753 1.4296 -0.8010 0.0342 -0.0085 0.5976
1341845689.3621 -0.7195 -2.9758 1.4295 -0.8011 0.0340 -0.0086 0.5974
1341845689.3722 -0.7195 -2.9761 1.4295 -0.8007 0.0337 -0.0085 0.5980
1341845689.3822 -0.7196 -2.9765 1.4294 -0.8005 0.0336 -0.0083 0.5983
1341845689.3922 -0.7197 -2.9768 1.4294 -0.8000 0.0332 -0.0083 0.5990
1341845689.4022 -0.7197 -2.9771 1.4293 -0.7996 0.0329 -0.0081 0.5995
1341845689.4122 -0.7198 -2.9774 1.4293 -0.7997 0.0326 -0.0081 0.5994
1341845689.4222 -0.7198 -2.9778 1.4293 -0.7997 0.0323 -0.0079 0.5994
1341845689.4321 -0.7200 -2.9780 1.4294 -0.7995 0.0321 -0.0079 0.5998
1341845689.4422 -0.7201 -2.9785 1.4296 -0.7995 0.0317 -0.0079 0.5998
1341845689.4522 -0.7204 -2.9788 1.4297 -0.7989 0.0312 -0.0076 0.6006
1341845689.4622 -0.7207 -2.9788 1.4302 -0.7971 0.0316 -0.0069 0.6030
1341845689.4722 -0.7210 -2.9791 1.4304 -0.7963 0.0305 -0.0067 0.6041
1341845689.4822 -0.7214 -2.9793 1.4307 -0.7958 0.0292 -0.0061 0.6048
1341845689.4922 -0.7218 -2.9797 1.4308 -0.7956 0.0278 -0.0057 0.6052
1341845689.5022 -0.7222 -2.9799 1.4309 -0.7951 0.0265 -0.0057 0.6058
1341845689.5122 -0.7226 -2.9806 1.4308 -0.7958 0.0238 -0.0063 0.6051
1341845689.5222 -0.7230 -2.9808 1.4311 -0.7956 0.0229 -0.0065 0.6053
1341845689.5323 -0.7235 -2.9810 1.4313 -0.7951 0.0221 -0.0073 0.6060
1341845689.5422 -0.7240 -2.9813 1.4316 -0.7948 0.0214 -0.0080 0.6064
1341845689.5525 -0.7244 -2.9814 1.4319 -0.7940 0.0205 -0.0088 0.6075
1341845689.5622 -0.7248 -2.9816 1.4322 -0.7932 0.0197 -0.0098 0.6085
1341845689.5722 -0.7252 -2.9818 1.4324 -0.7930 0.0189 -0.0105 0.6088
1341845689.5823 -0.7256 -2.9819 1.4327 -0.7924 0.0176 -0.0110 0.6096
1341845689.5922 -0.7261 -2.9820 1.4330 -0.7921 0.0163 -0.0113 0.6101
1341845689.6022 -0.7265 -2.9819 1.4336 -0.7910 0.0161 -0.0110 0.6115
1341845689.6122 -0.7269 -2.9821 1.4338 -0.7909 0.0144 -0.0111 0.6117
1341845689.6223 -0.7273 -2.9821 1.4339 -0.7906 0.0129 -0.0115 0.6121
1341845689.6327 -0.7277 -2.9822 1.4340 -0.7903 0.0116 -0.0117 0.6125
1341845689.6423 -0.7281 -2.9824 1.4342 -0.7901 0.0107 -0.0114 0.6128
1341845689.6522 -0.7284 -2.9826 1.4344 -0.7903 0.0102 -0.0113 0.6126
1341845689.6626 -0.7288 -2.9827 1.4345 -0.7902 0.0097 -0.0110 0.6127
1341845689.6722 -0.7290 -2.9827 1.4346 -0.7899 0.0093 -0.0107 0.6131
1341845689.6822 -0.7294 -2.9827 1.4346 -0.7896 0.0088 -0.0100 0.6135
1341845689.6922 -0.7298 -2.9831 1.4343 -0.7901 0.0069 -0.0099 0.6128
1341845689.7024 -0.7301 -2.9831 1.4343 -0.7899 0.0063 -0.0095 0.6131
1341845689.7128 -0.7305 -2.9831 1.4344 -0.7897 0.0057 -0.0089 0.6134
1341845689.7227 -0.7309 -2.9831 1.4345 -0.7897 0.0048 -0.0084 0.6135
1341845689.7322 -0.7312 -2.9831 1.4345 -0.7898 0.0042 -0.0083 0.6133
1341845689.7422 -0.7314 -2.9831 1.4344 -0.7899 0.0036 -0.0083 0.6132
1341845689.7523 -0.7317 -2.9830 1.4343 -0.7897 0.0030 -0.0082 0.6135
1341845689.7645 -0.7320 -2.9831 1.4343 -0.7898 0.0025 -0.0082 0.6133
1341845689.7722 -0.7323 -2.9831 1.4345 -0.7899 0.0022 -0.0082 0.6132
1341845689.7822 -0.7326 -2.9832 1.4346 -0.7899 0.0018 -0.0080 0.6132
1341845689.7922 -0.7328 -2.9832 1.4347 -0.7898 0.0011 -0.0078 0.6133
1341845689.8021 -0.7331 -2.9833 1.4347 -0.7898 0.0003 -0.0074 0.6133
1341845689.8122 -0.7334 -2.9832 1.4348 -0.7897 -0.0007 -0.0071 0.6135
1341845689.8225 -0.7337 -2.9827 1.4352 -0.7885 -0.0002 -0.0063 0.6150
1341845689.8322 -0.7341 -2.9827 1.4352 -0.7884 -0.0013 -0.0059 0.6152
1341845689.8422 -0.7344 -2.9828 1.4353 -0.7884 -0.0022 -0.0054 0.6152
1341845689.8521 -0.7347 -2.9828 1.4354 -0.7883 -0.0028 -0.0050 0.6153
1341845689.8623 -0.7349 -2.9829 1.4355 -0.7882 -0.0034 -0.0048 0.6154
1341845689.8722 -0.7351 -2.9829 1.4356 -0.7881 -0.0035 -0.0046 0.6155
1341845689.8824 -0.7352 -2.9830 1.4357 -0.7884 -0.0038 -0.0041 0.6151
1341845689.8922 -0.7354 -2.9830 1.4358 -0.7881 -0.0038 -0.0039 0.6155
1341845689.9022 -0.7355 -2.9831 1.4359 -0.7882 -0.0040 -0.0036 0.6154
1341845689.9122 -0.7356 -2.9832 1.4359 -0.7879 -0.0047 -0.0030 0.6157
1341845689.9222 -0.7357 -2.9832 1.4360 -0.7876 -0.0048 -0.0024 0.6161
1341845689.9321 -0.7358 -2.9834 1.4362 -0.7874 -0.0054 -0.0016 0.6164
1341845689.9422 -0.7358 -2.9835 1.4363 -0.7874 -0.0059 -0.0008 0.6164
1341845689.9522 -0.7359 -2.9835 1.4363 -0.7874 -0.0055 -0.0002 0.6165
1341845689.9622 -0.7359 -2.9836 1.4363 -0.7875 -0.0051 0.0001 0.6163
